4,Драйвера приходится качать -- и с камерой (включение ) ПРОБЛЕМ... Добьюсь - скачаю - НАПИШУ -- не фокус... Спасибо, хорошее ИЗДЕЛИЕ С Ув., В.О.
5,Вполне приличная мышка.Если ничего особенного от нее не требовать.
2,для бюджетной сойдет.
2,Неудачная мышь. Работает она конечно хорошо, но ужасно скрипит при нажатии на левую кнопку мыши. Наверное пластик трется (так и не понял где). Очень туго нажимаются кнопки - неудобно. Засвечивает красным светом вперед на монитор через прорезь в области колесика, что также вызывает некоторые неудобства.
5,За свои деньги отличный товар. Указатьель действительно не прыгает туда-сюда, позволяет вполне нормально работать, независимо от поверхности. Скорость мыши пришлось с середины поставить на максимум - видимо у этой мыши мало dpi (на сайте не указано в характеристиках почему-то). Левая кнопка мыши скрипела и немного приклинивала. Примерно через две недели мне это надоело, я ее разобрал и доработал (спилил небольшую часть корпуса, об которую терлась клавиша и скрипела). В остальном - мышь отлично работает и вполне удобна.
5,Норм. Працює.
5,Получил мышей, испытывал 3 дня, работает прекрасно что с ковриком, что без, на разных поверхностях отлично работает. За такую цену просто отлично.
5,За таку ціну - просто супер. Рекомендую)
5,Рекомендую и для себя и для других.
5,Норм мышка
5,нормальна стандартна миша
5,соответствует потребностям 100%. Для работы и учебы то что нужно. Просто и со вкусом.
5,Очень удачная покупка.
4,Все бы ничего, только слишком громко клацают кнопки.
5,нормальная мышка,удобная в руке не скользит . хорошо отзывается даже на неровной поверхности дивана
5,Все отлично работает уже не один месяц с момента покупки.
5,Лучшая мышь которая у меня была. Все дорогие Рейзеры просто вне конкуренции
5,Хорошая, удобная мышь. Предыдущая от A4Tech прослужила 5 лет. Надеюсь, эта прослужит не меньше.
5,Простая надёжная мышка. Беру такие в офис.
5,Советую.
5,Отличная мышь для людей с длинными пальцами, очень удобная
5,Купил год назад, работает хорошо и стабильно, в общем хорошая мышка.
