4,Получил мышь только что. Выглядит она красиво. Имеет очень четкие клики и такое же четкое и твердое колесо. А вот дно мышки сделано, как топором. Из какого-то грубого шершавого пластика. И ножки, тоже как-то криво вырезаны. У меня такая же мышь G9500F-1 на ней ножки намного аккуратнее. Но в руке и в работе она ощущается дорого и качественно.
5,Брал в подарок жене, осталась очень довольна! Для женской руки подходит хорошо, для меня маленькая.
5,5-й рік користуюсь і все просто чудово
5,За 2 дні не виявив якихось проблем. Працює справді на будь якій поверхні. Зручно користуватись. Якщо буде так і далі то буду дуже задоволений.
5,Купую вже третю мишу на фірму. Попередні дві працюють вже рік - проблем немає. Батарейки "їсть" потрошку (однієї на 4-5 місяців вистачає) - а працює 12-14 годин на день.
5,Мышка как и раньше шо была у меня просто бомба, советую.
4,Очень удобная мышка. Доступная цена. К сожалению в местах где много вайфаев часто виснет на 1-2 сек. Я так понял сигнал просто перебивают. Если вайфаев не больше 15 то все работает нормально. Плюс при нажатии на кнопку "двойного щелчка" (ту что рядом с колесиком) выдает "цюцшт2юст.п9" в команде виндовс "выполнить", пришлось скачивать программу "Office Shuttle Software" для настройки кнопки.
4,Порадовала комплектация
4,То что я искал. Программу для 4й кнопки нужно устанавливать с сайта производителя и там указывать ожидаемое действие. Если переключится на английскую раскладку, и кликнуть 4ю кнопку (до установки драйвера), то мышь попытается открыть сайт этой мышки, что приятно удивило :)
5,покупкой довольна)
4,Мышь хорошая.Очень хорошо лежит в руке.
5,Доволен товаром.
5,Купил в Розетке, я давно здесь постоянный покупатель. Очень доволен работой магазина. Плохо только, что в последнее время доставка только под парадное.
