5,Рекомендую всім Дякую магазину Розетка
1,В скайпе вылез банер "оставьте отзыв" ну чо, оставлю) никогда не оставлял плохих отзывов. Левая Кнопка Мышки накрылась через 1-2 дня пользования. Вот и весь отзыв)
1,Ужасная мышь, мучение, перестала нормально функционировать через неделю
4,мышь удобная но для подростков или девушек
5,Дорогие производители мыши CROWN CMXG-603 прошу сказать данная мыш хорошо для игр и долго она может прослужить
4,Мышка за свою цену прекрасная, привык к ней за день.
4,Вполне не плохая мышь за такие деньги, покупаю уже вторую такую т.к она подходит под мою руку
4,Для её цены хорошая мышь
4,работой доволен
5,отличная и удобная
