5,Отличная мышь за эти деньги
4,Мышка супер! Только вчера получила, из всего заказа больше всего ждала ее. Удобно лежит в руке, хотя довольно крупная, имеет приятный финиш. Клацает довольно шумно, но не больше, чем остальные в подобной ценовой категории. Вот колесико тугое. И иногда, похоже, слегка прокручивается, но может разработается. Обалденная подсветка, меняется плавно, не мигает, красивая, не раздражает. Единственный минус - горит даже с выключенным системником, приходится выключать сетевой фильтр. Могли бы уже сделать кнопку, как у беспроводных мышек, чтобы можно было этот восхитительный ночник выключить. Вот для игр она самое оно) Отлично и легко скользит, быстро реагирует, всем своим видом как бы намекает, что пора запускать контру, там же и тестилась, прекрасно себя показав.
5,Мне очень сильно понравилась подсветка. Шнур видно что очень мощный. Чувствительность у неё тоже на высоте. Дизайн просто прекрасен.
2,світиться завжди (не має опції відключити підсвітку) особливо вночі коли виключив ноут вона продовжує світитись пропрацювала пів року і перестала оприділятись, краще економно купити х6 ту
1,перестала работать после 2-х часов
5,Самая чёткая мышка для кс-го, и прочих игр сойдёт
3,За свои деньги нормальная мышка.
5,Очень замечательная мишка! Рекомендую всем. Доставили на след. день) Покупкой очень доволен
5,норм мыша , 1 гож пользуюсь и ничего плохого в ней не нашел
1,На 2 ДЕНЬ!!! использование уже не работает пкм и светодиод тоже в правой стороне мышь только на глаз красивая не рекомендую очень и очень плохая мышь ( мышь не падала и не повреждалась!!)
1,Токо приехали поработала пару часов і накрилась
