5,мене на день рождение подарили эту мышь и хочу узнать а можно поменять подсветку? а так мышка очень радует.
3,Так себе.
4,Доставили быстро
5,Отличная мышка за свои деньги. Пользуюсь больше года и за весь этот период у неё разве что только наклейка с логотипом начала вытираться. Все кнопки работают, колесико не скрипит, подсветка работает, вообщем очень качественная мышка.
4,Классная мышь
3,Норм
4,Купил 25.01.2017. Работает с usb 3.0 и usb 2.0 (может важно для кого). До этого верой и правдой трудилась х7, но пациент умер. Порадовало покрытие - приятный софтач. Смотрится дороже своей стоимости на ощупь также. Единственная претензия пожалуй п.о. Его нет, а хотелось бы настроить светодиоды. Ах и да - мойте руки перед использованием - материал хороший, но пачкается
2,Подарили мишку. На X7 модели XL-750BK кошка погрызла провод и он паяный-перепаянный в трёх местах. Старался привыкнуть к этой. В итоге оформляю отказ. Мишка не удобная. Ее маленький размер, а именно длина 12 сантиметров, не подходит для взрослых людей. Даже в обычной работе, не говоря уже о играх. За два дня пользования этой мишкой, из которых часа два игры, у меня появилась мозоль на нижней части ладони, почти на кистевом суставе. Мозоль! От мышки! Длина от верхней точки среднего пальца до конца ладони 20,5 см. Когда подымаешь мишку, что бы переместить ее на нужную часть коврика - курсор противно прыгает. В шутерах это просто выводит из себя. Кнопки очень громкие. Громче чем хруст сухой ветки, толщиной с мизинец, когда ее ломаешь на пополам. Брак в шнуре. Шнур с тканевой оболочкой. Нитки расплетаются. Это заметил сразу же как только открыл мишку.
3,за такую цену норм ну яб не брал
3,Пол года нормально проработала - ну и ладно. Левая кнопка перестала реагировать на отклик...
5,Миш просто клас саветою 3 дня ждал
4,Вполне хорошая мышь за такую цену.
