2,Работала нормально, исправно, около 6 месяцев, пока не "умер" указатель (стоит на месте, не двигается), хотя лазер горит исправно, и клавиши реагируют (по крайней мере, правой открывается контекстное меню). Может всё из-за того, что пару раз падала с высоты полуметра на ковер, хотя предыдущие проводные собратья и не такое выдерживали, и до сих пор живые. Установка/удаление/обновление драйверов, и другие танцы с бубном не помогли, также пробовал её и на другом компе, ничего. В итоге - ушла в мусорное ведро, смысла пересылать по гарантии не вижу, - одно на другое выйдет, проще купить новую.
2,Мышка поставляется с хорошим ПО от производителя. Вроде всё было ок, нормально работала 2-3 недели. Потом колёсико начало выделываться. Прокручиваю вниз, оно прокручивает 2 строчки вниз + 1 вверх. Или 4 вниз - 1 вверх. Или просто 1 вверх. Или просто не реагирует. Очень бесит. Не знаю что делать в таких случаях... Погнался за хорошей ценой, а теперь страдаю...)
5,Отличная мышка для работы и повседневного пользования
2,Предыдущая мышь этой же фирмы проработала 5 лет...и то пришлось менять потому что перестало работать колесико.Месяц нормальной работы . Больше брать мышь этой фирмы не буду.
4,Рекомендую: непоганий мишак.
4,Користуюсь тиждень. Непогана мишка за свої гроші. Для того, щоб налаштувати під себе, скачайте додаток з сайту підтримки.
5,Мышь, она и в африке - мишь)
5,Мышка супер
4,Як за таку ціну нормальна мишка, без якихось явних недоліків. У користуванні вже майже два місяці батерейку ще не міняв. Перші кілька днів туго прокручувався ролик, але зараз прокручується легко.
5,Очень довольна)) супер мышка))
5,Отличный товар на свою цену
5,Працює на довільній поверхні. Одна батарейка.
4,Удобная мышь, небольшой приемник и компактные размеры самой мыши позволяют легко носить ее и использовать с ноутбуком. Работает на любых поверхностях, на стекле в том числе. Плюс можно выбрать цвет, гармонирующий с цветом ноута.
5,Давно искала золотую-нашла только здесь.Очень порадовала цена.Быстрая доставка.Спасибо.
