4,Мышка проработала ровно год интенсивного использования. Месяц назад мышку начало выбивать, глючить и прочие нехорошие вещи. Недели две назад еще и лазер стал плохо считывать движения. В общем, дожила свое. За такую цену грех жаловаться. Если нужна дешевая мышка для домашних целей - самое то!
4,Хорошая мышь
5,норм мишка...в мене 2 роки прослужила..не лагає
5,Отличная мышь,простота в управлении,быстро реагирует,в общем то,что нужно.Осталась довольна!
1,Курсор в итоге то тормозит то пойми куда прыгат. Даже для элементарных игр негодится. Не советую
5,пользуются родители около полгода и даже не задумываются о том, что с ней может что-то случится. качественная простая мышь
5,За свою цену хорошая мышка. Пока работает. Думаю, что больше года не выдержит, но на то она и стоит)
5,пока работает норм)
5,Купил несколько про запас. Часть работает часть лежит до сих пор.
5,отличная удобная мышка
5,Мышь за свою цену - отличная, умерла через 1.5 года использования, и то, из-за небрежного отношения, сломалась, из-за того что небольшой проводок(Не весь провод, и 1 из тех, которые внутри него.)Порвался, чинить бессмысленно, лучше уже купить новую) Очень удобная, Для работы в графических редакторах а-ля Cinema4D, Pyxel Edit, и многих других типов подходит идеально. С играми то же самое, играбельно начиная от Crusaders Kings 2 и Civilization V, заканчивая Battlefield 4 и Mass Effect.
1,Скролл глючил изначально, на 1-й неделе использования умер, не советую это......
1,за такие деньги в принципе не удивительно....колесико уже не работает)))
5,В работе показала себя хорошо.
