5,Отличный бюджетный вариант, работает на любой поверхности.
3,нормальная мышь для своих денег
3,норм мыша
4,Отличная, недорогая мышка. Для моего ноутбука - то что нужно.
5,Удобная мышь советую всем.Недорогая и практичная.
5,Товаром доволен , дошел быстро ! Рекомендую ;)
4,Хорошая мышь.
3,Купував 2 таких мишки, на одній часом заліпає кнопка. Міняти товар за таку ціну - пфф, не дуже хочеться возитись, так що краще нову взяти іншої марки.
3,плюсов увы не нашел,одни минусы
2,В целом не очень доволен. Прожила недолго (впрочем как и другая техника данной фирмы), в руке лежит не очень удобно. Хотя как на свои деньги - сойдет. Кстати, у кого громко кликает - у меня левая кнопка со временем запала, ее нажать можно было даже просто подув)) Вовсем не кликает)))
3,Громко кликает
4,Для дешовых сойдет.
5,Понадобилась мне простенькая мышка. Заказал в 3-х интернет магазинах в одно из воскресений. Оперативнее всех сработал интернет магазин ROZETKA. По дизайну мне понравилась мышка Sven RX-165. При сравнении с Logitech LS1 Laser мышка Sven RX-165 почти ничем не отличается, разве что весом. В руке её почти не чувствуется.
3,нужно использовать только вместе с ковриком
4,За такие деньги это прекрасная мышь!
5,Добротная мышь
