1,Купил 9 января 2017,сегодня сломалась ПКМ.
4,Я играю в cs:go,и при резких движениях сенсор сбивается. В целом мышка классная,она довольно тяжелая,как для меня это плюс,но не для всех это будет удобно.
5,Купляв мишку брату (він в мене початковий геймер), вроді непогана за ці гроші)) не SS sensei)), але і не шлак)
5,Приобрёл себе эту мышь 1-2 месяца назад, очень удобная, красивая и достаточно дешёвая мышь. Я однозначно могу вам порекомендовать этого грызуна :)
3,50/50 мне как каесеру не подходит
4,У меня вопрос нормально когда при прокрутке колесика мишки оно периодически щелкает? И еще такое чувство что не зафиксировано и немного болтается . Я может и немного придирчив просто не особо комфортно .
5,Очень доволен. Отличная геймерская мышка .
5,Пользуюсь несколько месяцев, доволен всё наривится. Приловчился пользуюсь боковыми кнопками. Дополнительная кнопка вверху слева не особо практична.
5,Отличная геймерская мышь по смешной цене
5,Мышка отличная,те кто говорят что она тяжелая то вы не знаете что такое тяжелая мышь. Все клавиши работают отлично,смена чувствительности мыши работает, что не мало важно. Колесо крутиться тоже хорошо.
5,Советую
5,Приобрёл себе эту мышь, ни капли разочарования! Отлично себя ведёт, быстро реагирует, все кнопки функционируют хорошо. Имеет удобную форму, но является довольно громоздкой, из-за чего подойдёт не всем. Отличная мышь, в меру своей стоимости. Всем рекомендую!
4,А какой сеснор установлен в данный девайс??? Все пишут "ВЫСОКОЧУСТВИТЕЛЬНЫЙ" ,а какой фирмы ???
5,Не вау конечно, но и не плохая
5,Была куплена для подарка парню, очень понравилась, остался доволен, для компьютерных игр "саме то" =)
5,...отличная мышка для игры в танки.... :)
5,Брал для кс го мышка неплохая лично я использую с ковриком так как без коврика скользит хуже пользуюсь 2 месяца и с первого подключения мышки не обнаружил никакого дискомфорта.
1,Можно ли поменять мышку если на второй день не работает?
5,Моя распаковка
5,Долго сомневался брать ли оптическую мышь после того как долго пользовался лазерной Logitech G500. Вариантов после взлета доллара не осталось. Взял по акции со скидкой. Очень доволен, ничем не уступает моей предыдущей.
5,в комплекте прилагается наклейка
5,Мышка просто здоровенная. Удобно будет для людей с большой ладонью. Подсветка приятна не раздрожает.
5,"Моя распаковка"
5,Первые 2 дня, казалась очень большой!!! чуть не пожалел))но спустя дней 5 оня стала неотемлемой частью ПК. я играю в CSGO очень удобная, резкая . Супер я не жалею
