5,Покупала эту мышку не тут еще лет 6 назад наверное. Тогда надо было срочно заменить сломанную, так что выбрала на время самую дешевую модель в магазине. Отлично проработала год где-то, но однажды потеряла ее и купила такую же. Потом потеря нашлась, но у брата сломалась мышка и я отдала ему свою запасную. У него мышки ломаются очень часто, раз в год точно. Но вот уже 5 лет эта мышь у него держится и ничего не ломается, хотя он за компьютером сидит днями. Я мышкой пользуюсь только для игр, но и у меня все это время работает отлично
5,Хорошая мышь, до сих пор пользуюсь.
1,Через кілька місяців використання коліщатко мишки зламалося, поставив зі старої мишки але вона завелика тому, зараз працювати некомфортно, чекаю доставки нової миші. Також в іграх почала просідати лкм, кілька раз доводиться натискати, доки танчик або автомат вистрілить. Не радив би купляти.
4,В час, коли всі роблять мишки для людей з мікроскопічними руками, ця миша стандартних розмірів. Вона проста в дизайні, але досить зручна, підійде багатьом, а головне - її важко зламати. Як і у всіх бюджетних мишах кнопки тут - погані. Через рік вийшли з ладу, замінив кнопки на Omron і вже пару років мишу не можна вбити. Падала зі столу, падали на неї книжки і т.д. - нічого їй не було.
5,Мышка супер. Очень довольна покупкой!)))) не глючит, работает на все 100%!!!!
5,Покупкой очень довольная!!!!! Отличная мышка! Удобная в использовании! Дешевая, простая и надежная. Работает отлично, а что ещё нужно.
5,3 года гарантии - это сильно
4,Сама проста мишка яка лиш може бути на світі
3,Сало як сало. Простецкая, не слишком дорогая мышь с двумя кнопками и колесом. Легкая, достаточно большая, для ноута как по мне великовата. На колесико и кнопки нареканий нет, кнопки громковаты, пустой корпус отзвук даёт. По коврику работает хорошо, по ладони или какой совсем неровной поверхности - не очень.
5,за такие деньги мишак супер
5,Мышка, как мышка... всё ок)
5,Прекрасно работает, приятная в руке. Нет никакой разницы от других проводных мышек. Рекомендую
5,купила разом із ноутбуком. працювала нею майже два роки. останнім часом почала користуватися коліщатком для відкривання окремих вкладок у браузері. і зламала. думаю куплю таку саму.
5,спасибо розетке)
4,отличный товар за такую цену
5,Бюджетний надійний гризун
5,всем советую
5,Очень доволен, легок в руке и компактный, работает даже на стекле
3,Как для ноутбука можно покупать,для исполнения более сложных задач(юзание игр и тому подобных задач) не советовал бы.
3,себе б не купил, а людям которые никогда нормальной мышки в руках не держали можно впринципе купить
5,зручна, практична мишка
5,Покупал для компа, но когда купил ноут забрал себе.
4,Неплохая мышка за приемлемые деньги
3,Мишка так собі для інтернету підійде
5,Мышка шикарная. Сколько не ронял - ей хоть бы что. Всем советую
5,для дому буде хороша
2,Ужасная мышь, брал только потому что шла комплектом (ноут+сумка+мышь) сумка была нужна а мышь решил пусть будет
3,Первую неделю колесо туго крутилось..а теперь всё хорошо работает..
1,Мышка ужасная! Колёсико вообще ели крутится. На следующий же день купил новую мышь.
4,очень простая можно брать
4,Мышь на свои деньги
5,Хорошая мышь, линуксом определилась сразу (HID устройство, ID 13ee:0001 MosArt), работает четко, клик действительно громкий, но это скорее достоинство (хорошая тактильная обратная связь).
3,Мышка оказалась достаточно громадной и не подходит для ноута, хотя Розетка продавала ее вместе с ноутом.
4,в основном - вещь своих денег стоит
3,для такой цены пойдет
1,Спасибо!!!
4,Пользуемся месяц. Пока все ОК.
3,нельзя економить на мышке
3,работает без нареканий
5,Удобная в использовании!
5,отличная мышь за такие деньги)
3,Дешевый пластик, красный лазер просвечивается в том месте где колесико (сильно просвечивается).
5,Прекрасная мышь.Пишут,что громкий клик,но как по мне,то он абсолютно нормальный.А вот хаб почему ее не видит,хотя старая мышь через него работает.Но это уже мелочи,так как USB-разъемов в ноуте или компе минимум два.И лично мне занимать разъем хаба мышью не нужно.Для ноута подходит мне прекрасно.
4,Громкий клик!
4,Неплохая мышь
5,работает шустро
3,яка ціна така і якість
